2024-05-30 14:58:27 [main] WARN  o.s.w.s.m.s.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.multipart.support.MissingServletRequestPartException: Required part 'file' is not present.]
2024-05-30 15:08:39 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-05-30 15:08:40 [main] INFO  c.p.controller.ParserControllerTest - Starting ParserControllerTest using Java 22.0.1 with PID 2900 (started by Димыч in C:\Users\Димыч\Downloads\pastebin\notificationSystem\xlsxParser)
2024-05-30 15:08:40 [main] INFO  c.p.controller.ParserControllerTest - No active profile set, falling back to 1 default profile: "default"
2024-05-30 15:08:42 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2024-05-30 15:08:42 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
2024-05-30 15:08:42 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 1 ms
2024-05-30 15:08:42 [main] INFO  c.p.controller.ParserControllerTest - Started ParserControllerTest in 2.91 seconds (process running for 3.894)
2024-05-30 15:08:55 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-05-30 15:08:55 [main] INFO  c.p.controller.ParserControllerTest - Starting ParserControllerTest using Java 22.0.1 with PID 14536 (started by Димыч in C:\Users\Димыч\Downloads\pastebin\notificationSystem\xlsxParser)
2024-05-30 15:08:55 [main] INFO  c.p.controller.ParserControllerTest - No active profile set, falling back to 1 default profile: "default"
2024-05-30 15:08:57 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2024-05-30 15:08:57 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
2024-05-30 15:08:57 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 1 ms
2024-05-30 15:08:57 [main] INFO  c.p.controller.ParserControllerTest - Started ParserControllerTest in 2.751 seconds (process running for 3.703)
2024-05-30 15:08:58 [main] INFO  c.p.controller.ParserController - send message to kafka
2024-05-30 15:10:29 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-05-30 15:10:29 [main] INFO  c.p.controller.ParserControllerTest - Starting ParserControllerTest using Java 22.0.1 with PID 9292 (started by Димыч in C:\Users\Димыч\Downloads\pastebin\notificationSystem\xlsxParser)
2024-05-30 15:10:29 [main] INFO  c.p.controller.ParserControllerTest - No active profile set, falling back to 1 default profile: "default"
2024-05-30 15:10:31 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2024-05-30 15:10:31 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
2024-05-30 15:10:31 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 2 ms
2024-05-30 15:10:31 [main] INFO  c.p.controller.ParserControllerTest - Started ParserControllerTest in 2.737 seconds (process running for 3.755)
2024-05-30 15:10:31 [main] INFO  c.p.controller.ParserController - send message to kafka
